1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
18195.88338,9889.668209,11218.95601,7769.323609,1563.078286,8343.698087,12969.86023,9716.884654,27336.32399,23633.61997,23999.70448,22563.08158,22802.55016,18530.29362,9853.65768,12104.91727,19553.38687,14133.64403,23103.83398,17920.15755,36048.50446,39184.04468,3469.809961,17620.92623,24243.40356,30248.4859,14148.37125,9482.237791,5539.949437,7164.768643,9661.169929,7064.017367,15108.277,17528.11548,27350.59475,18827.31824
16047.01359,7849.515682,9089.595224,6811.520711,3875.556744,10924.48261,14161.61218,11813.51702,26950.84013,23787.71766,24679.72058,21734.46783,22168.84724,16199.86622,7085.419424,9664.625712,16889.77838,11337.93009,20318.23418,15112.76658,33355.13829,36609.49994,5419.782493,14932.87086,21575.68294,27474.58858,11345.30587,8239.428787,8242.521637,9895.97537,9106.575507,5312.629621,13416.25037,15164.3221,25243.28023,16328.32793
19273.09228,11122.04044,12343.32668,9860.439762,4360.911663,8426.818679,10898.1132,8745.01045,24541.63467,20974.52075,21587.87478,19739.31697,19979.85,16457.04113,8925.702229,10300.99262,18037.66394,13242.04823,22019.35118,17321.15049,36015.36018,39479.7516,2616.182749,17685.73213,24329.22619,29883.02661,13677.26234,11408.8372,6190.676602,9078.963065,12001.48872,8573.240279,16692.41618,18294.39745,28468.16108,19345.24333
15931.82588,8212.397535,9241.833769,8324.742442,6231.14022,12334.14643,13975.41889,12603.9028,25293.7811,22543.93583,23851.79216,19827.7212,20381.01435,13759.67958,5060.592601,7238.741232,14611.34867,9391.589764,18283.359,13402.89786,32085.85692,35612.11834,6539.13756,13798.54761,20428.93733,25946.73516,9738.799964,9428.526485,9918.429952,12105.69231,10752.44371,6299.478931,13939.71101,14729.66788,25069.98792,15622.4291
20301.0007,12723.09226,13731.52327,12507.70474,8057.429313,10653.7575,9806.353585,9745.609982,21203.39623,18117.67457,19341.47735,16135.2196,16477.16898,13371.44381,7996.182017,7846.101647,15656.34924,11932.51379,20120.46368,16208.21226,35294.38325,39161.89203,5430.930423,17446.38684,23927.52555,28795.58115,12923.24796,13792.01643,9125.497553,12566.43782,14849.74266,10701.85273,18450.53025,18950.07734,29365.99585,19642.26919
21418.76347,13511.32879,14861.95344,9985.482029,4637.805389,6845.338742,14964.56706,9918.644739,31339.68337,26891.25094,26306.14651,27246.3261,27238.00794,24436.12455,15568.11471,18021.50158,25399.55891,19738.47825,28726.77458,23255.11602,40562.28607,43217.68063,6774.894279,22323.18248,28760.67074,35204.5883,19465.96956,11757.64217,4563.161574,1792.78363,10636.99356,10705.79351,17513.82931,21300.82586,30178.6844,22914.22626
18670.6314,10846.09109,12183.61174,7234.922667,3324.135216,9041.20861,16286.86446,11738.57583,31851.14772,27781.7265,27622.6692,27318.70893,27475.44523,23093.66715,13680.57583,16557.56008,23608.40276,17685.97674,26629.16508,20984.24887,37938.20246,40510.69159,7121.278091,19800.36631,26161.00091,32714.17666,17218.01,8999.832045,6319.140642,4550.645508,7926.135002,8104.008696,14756.20774,18599.20013,27420.28739,20250.64763
13490.03643,21760.43984,20413.30529,24864.70188,31611.87335,39915.50543,42771.92096,41154.02041,49305.03655,48900.99411,51450.45665,42924.95464,44229.34965,29299.46571,25244.53573,27706.89133,24681.93906,22523.11309,20817.1408,18971.05303,11564.5695,10269.75511,34753.58961,15941.26855,10981.3821,13660.50117,20734.86535,23085.43423,37011.07292,36635.28914,24501.51275,24643.49953,17411.64134,14189.92805,5071.125896,13349.25237
16519.22229,24673.04425,23311.27902,27953.04392,34541.60228,42790.74235,45189.94961,43867.67082,50709.8084,50677.28685,53442.1958,44337.93735,45710.09804,30522.67306,27498.10699,29616.94005,25767.56234,24413.8615,21440.75806,20560.44466,9137.894348,6873.927084,37492.85107,18031.51226,12228.0853,12940.08076,22787.217,26201.54702,39911.55897,39729.71193,27728.05492,27568.34099,20630.88496,16934.00108,8546.623861,15816.21577
26446.82312,18155.07374,19504.38608,15446.0405,8343.832951,0,8999.933314,3435.462693,26285.16337,21251.36637,20028.44864,23188.66953,22830.62964,23989.4176,17352.31058,18371.30439,26201.10953,21667.49178,30388.85832,25736.47602,44268.64186,47510.33996,5810.773878,25854.39919,32499.54502,38266.21831,22058.79146,17260.70437,2937.645515,5769.370975,16733.00417,15276.81444,23066.44368,25862.42402,35540.57862,27168.55678
28108.11606,19809.29906,21153.94717,17142.6179,10026.49914,1699.848927,8382.887996,2892.313866,25811.67418,20570.43631,19028.03075,23103.08714,22628.0432,24863.5914,18707.55704,19475.46462,27304.04397,22997.57689,31618.3426,27119.62927,45768.42513,49078.95401,7207.02805,27375.05481,34024.67416,39687.95966,23480.89469,18956.29931,4632.266261,7186.658609,18429.63032,16938.49508,24758.59647,27488.72938,37215.54316,28763.44916
24414.98683,16112.32608,17431.68678,13815.23252,6656.349477,2777.20845,8121.55729,3573.577295,24774.32998,20108.35055,19473.35572,21188.34189,20976.70156,21237.51736,14682.9998,15596.12692,23426.9799,18979.46147,27647.02041,23092.83951,41766.0642,45137.9602,3191.854449,23392.83182,30042.90416,35661.51583,19455.51698,15590.36337,2322.23028,6464.58625,15406.45858,13294.42364,21302.28686,23673.26388,33578.75245,24875.2473
25646.48521,17363.22555,18662.31236,15227.68362,8106.087308,3002.916728,6662.88595,2177.396484,23572.78603,18764.15137,17991.78808,20248.95668,19944.80086,21262.6172,15384.65092,15921.11767,23740.53791,19622.65855,28126.71471,23805.25566,42635.18602,46126.44557,4239.40953,24331.66503,30972.73829,36411.35342,20241.48982,16985.01708,3752.762445,7785.880333,16881.07224,14587.33108,22651.32756,24820.14505,34829.87835,25950.53429
